UID,MID,RATING,TIME
11,2710,3,978220867
19,2710,3,978555360
34,2710,5,978103455
39,2710,3,978043778
41,2710,4,978040031
46,2710,5,977978863
53,2710,5,977948890
63,2710,3,977901058
64,2710,4,977892590
71,2710,2,977875912
77,2710,1,977813683
83,2710,4,977718854
85,2710,2,992325157
88,2710,1,977695941
92,2710,1,986188022
104,2710,3,977546823
116,2710,1,977496886
117,2710,4,977503845
131,2710,3,977602512
133,2710,2,977425751
135,2710,3,977416821
136,2710,5,977423292
137,2710,1,977373059
139,2710,5,977362548
145,2710,3,977345408
149,2710,1,989246500
150,2710,2,977302722
151,2710,4,977295405
154,2710,1,977260181
159,2710,2,989966613
162,2710,4,978995646
163,2710,4,977323187
166,2710,3,977188156
170,2710,1,977173631
175,2710,5,977114125
186,2710,4,977059827
187,2710,3,977234610
188,2710,3,1011464219
202,2710,5,976935716
208,2710,3,976915959
218,2710,1,976842252
227,2710,2,976829924
228,2710,4,976827774
249,2710,1,976730596
272,2710,4,976694053
273,2710,4,976777069
274,2710,5,976593531
278,2710,3,976586488
284,2710,3,976749026
295,2710,4,976526116
296,2710,2,976522006
301,2710,3,976505340
302,2710,4,976506273
303,2710,2,976504338
305,2710,1,976497391
319,2710,1,976426210
321,2710,3,976416416
323,2710,5,976974075
344,2710,1,976336730
349,2710,1,1005968934
352,2710,1,976323621
354,2710,4,976323433
370,2710,5,976650736
372,2710,4,980449127
376,2710,4,980620921
390,2710,2,976304163
398,2710,4,1044565523
402,2710,2,976296870
404,2710,2,985827265
411,2710,1,976294822
416,2710,4,976285852
422,2710,1,1042065091
423,2710,5,976281368
424,2710,4,976308818
426,2710,1,976280476
429,2710,3,976255557
431,2710,1,976250069
438,2710,2,980904314
445,2710,2,976241528
454,2710,4,976488571
456,2710,1,976231658
457,2710,4,976230382
474,2710,4,976230078
482,2710,3,984552325
492,2710,2,976214463
498,2710,3,976212285
506,2710,4,976207772
509,2710,2,976209649
511,2710,3,976206740
513,2710,4,976218179
514,2710,3,976203839
518,2710,4,980872195
524,2710,5,976171033
531,2710,4,994110204
533,2710,5,976141968
543,2710,3,976158392
546,2710,1,976070547
548,2710,1,976139767
549,2710,4,976117688
552,2710,1,976063779
561,2710,5,976045993
582,2710,4,981995822
587,2710,3,975945042
597,2710,4,975904391
598,2710,2,975891088
605,2710,1,975871784
621,2710,1,975796840
643,2710,3,975717237
648,2710,3,1030230190
658,2710,4,975692549
660,2710,2,975695050
