Movie_i,Movie_j
780,1206
780,2712
2628,3608
1917,2395
780,2395
1206,1721
1206,2628
1721,1732
2628,2657
1997,2628
1721,2395
780,2959
1544,1732
1206,1917
1721,2959
1917,2712
968,2628
2628,3176
25,2628
1917,3160
1721,2700
2395,2628
2628,2959
736,2395
1917,3608
780,3608
1527,1721
1721,3052
1183,2907
1206,3623
1035,1732
2431,3160
1544,2710
2384,2628
2706,3160
2395,2706
2617,2712
1721,2826
1917,2427
1183,2628
1732,2628
25,780
25,1917
2628,3160
2617,2710
2628,2700
780,3176
780,2427
25,104
1721,3160
780,2600
2683,3176
1183,3052
2628,2710
780,2710
1917,2710
1917,1997
1391,1721
780,1997
780,3160
736,2712
1917,2976
2427,3156
1721,3535
1721,2710
1917,3176
1527,1997
2959,3623
1035,2826
1544,2959
780,2700
25,2431
1573,2395
736,1206
1721,2723
1373,2959
780,1732
1721,2427
2628,3535
1380,1732
1035,1206
1527,2710
736,3608
736,2959
1917,2959
3608,3623
1676,2712
231,2657
2427,2683
1721,3033
2710,3354
2712,3156
2427,2706
736,1732
1721,2712
1917,2600
780,1884
1732,1917
1373,2700
736,2700
1380,2959
1923,2628
2431,3608
25,2706
780,1183
344,2395
1035,2959
1544,2395
104,3176
1573,2710
1380,3535
1544,2723
736,3160
2431,2710
25,1721
1088,1997
1721,3785
1923,3176
344,3535
1732,3176
1380,3160
1732,2706
2459,2628
3160,3354
2395,2683
2427,2617
2427,2628
1917,2723
2628,3070
2706,3176
1544,3608
1088,1732
344,3160
1923,2617
104,2427
780,2976
104,2384
104,3160
1391,1917
1721,1924
1923,1924
2683,2712
532,3156
2617,2700
104,1183
780,785
1035,2710
968,1721
1035,2683
2427,2431
25,1088
1183,1544
70,1035
1732,2617
1206,3273
785,2384
1517,1721
2022,2628
208,2710
1732,2431
1391,2628
231,1527
25,1676
1721,3608
2700,3354
780,3535
2710,3033
785,2628
1676,3176
2959,3354
1573,2427
1721,3070
2384,2826
1676,3160
2628,2712
1088,2395
3160,3785
104,2395
104,2712
780,2022
1183,3146
344,1206
2959,3176
2683,3535
1573,2959
344,2427
2395,3354
2628,2683
2395,2431
1732,3623
780,2657
1088,3608
1721,2657
1732,3156
2826,3160
2706,2712
344,2657
1206,2710
1405,2628
25,1527
1183,2617
1035,2712
2617,2959
736,2710
70,1183
1721,1997
780,968
327,1721
1035,3752
1573,2657
25,3273
1088,2710
1721,2628
1035,3160
2628,2723
1517,2628
1206,2706
1035,3623
1573,1997
1527,2712
2706,3608
2617,3176
2431,2700
1183,1573
2021,3608
1573,3160
216,3160
25,2683
1721,2976
1373,2395
1997,2723
2683,3160
1183,1923
208,2959
780,1517
1573,2384
1373,2710
25,3623
532,2628
1206,2683
1997,3052
1206,3354
2710,3623
1035,2628
2712,3052
2657,2683
1206,1544
2712,3225
1544,2427
968,2431
2712,2826
1088,3160
1544,3176
1206,1573
2706,2710
2959,3156
2700,3176
1380,2395
1923,2657
1035,1997
1527,3535
288,2628
611,3754
1573,2712
1676,1732
1035,2723
1917,2700
1206,3785
785,3623
3033,3176
2861,3160
1088,3176
1997,2431
2706,2976
2395,2617
1573,3176
2395,3623
1721,3176
1206,2723
2384,2683
70,2395
1923,2710
2427,3052
1183,2683
780,2384
780,2723
1206,1676
104,3535
3176,3785
19,2657
968,1917
2700,3623
25,2617
2723,3354
1923,2021
1573,1732
1997,3176
1206,1527
1183,3608
2861,2959
1035,2700
1917,2657
2617,3160
1997,2617
1183,2700
1527,1923
2384,2959
1088,1206
288,1721
1183,2723
288,2384
736,2427
1391,1573
1676,2657
2683,2959
736,1997
780,1391
104,2976
1573,1923
1923,2395
1527,3608
785,1721
2683,2976
1544,2976
2657,3623
1206,1380
674,2628
2617,3608
2683,2710
3176,3752
216,968
1183,1391
3160,3273
104,2710
1206,3156
2384,3146
2384,3033
736,3176
1917,3535
2700,2826
1527,3176
1059,2628
3052,3676
1676,2395
2700,2710
2712,3623
1183,2959
1676,2427
736,1923
785,1544
1380,2427
2431,2712
1544,2700
1183,1917
25,736
2628,3785
104,1035
780,1923
1544,2712
1923,2427
1035,3146
1517,2617
2431,3176
25,1373
104,1206
25,3052
1997,3623
288,780
1721,1884
1721,2600
2712,2723
25,231
208,2683
2253,3535
1721,2706
1206,2335
1088,2700
1035,1923
1544,1923
1997,2959
2700,2861
736,3535
2021,2384
3160,3623
1391,3623
785,1380
3176,3623
1726,2710
2706,2959
25,1573
2021,2700
2617,3535
1416,2387
1206,1923
1035,3535
1924,2706
1573,2628
1380,3608
344,2959
344,3354
208,2700
208,2657
1183,1676
1676,2959
2427,3785
780,3676
1721,2683
2657,2959
1527,2395
25,2826
2706,3676
2395,2657
25,3785
1573,2700
25,3754
70,1732
2361,2628
3535,3623
1923,3354
344,1527
25,2657
968,1183
1088,1517
231,2021
1544,1997
785,1035
104,2617
1527,2700
208,2395
1573,2723
1205,2314
1517,3176
1917,2384
1391,1544
1183,1206
1544,2657
2395,2826
1183,2384
1206,2617
2723,3785
736,1517
1035,3608
736,968
2657,3160
1373,2427
2363,2628
25,344
1059,2700
1183,1997
70,2712
3156,3176
208,1923
968,3623
736,2657
1732,3273
344,2710
1527,3160
1035,1517
1035,2395
1573,3608
1997,2683
2628,3676
1391,2384
1380,2710
1183,1405
1917,2022
2710,3752
2395,3785
1416,3354
2710,3176
1035,2706
3354,3535
3070,3160
785,2710
2628,2706
736,1183
70,1721
70,3176
736,1391
2335,3176
968,1380
3354,3608
2976,3354
1088,2723
2657,2710
1088,2959
25,2907
2710,2959
1517,1917
1380,1997
1544,3535
736,785
2706,3535
2384,3052
70,3160
208,1997
25,3070
1676,2710
1676,1721
2710,3156
1373,3608
1380,2700
1206,2431
344,1924
1721,1923
1721,2021
1380,3176
611,1183
288,1035
1183,1732
2683,3070
288,2723
2253,2710
736,3070
1924,2861
968,2683
25,3033
231,1206
1527,3623
70,2628
2384,3917
344,2712
1732,1923
1527,2628
1517,2712
2861,3176
25,1544
3052,3176
785,2657
1059,3146
1923,3160
231,1035
2712,3785
2657,2826
2387,3176
1380,1391
2710,3070
1183,1924
1373,2723
2395,3052
288,736
208,2706
2387,3160
785,3176
25,70
1405,1721
231,1183
231,2959
1183,3354
1997,2706
2826,3176
1917,2363
1517,2959
1035,2617
2700,2712
25,1205
1884,3176
2384,2976
344,1183
1059,1997
1573,3535
70,2710
1721,2363
1721,2384
1405,2826
1183,1527
1923,2712
1059,3176
1573,3676
1573,2683
532,1917
2384,3623
968,2826
1732,1997
1527,1573
968,1373
1373,3910
1527,2427
1544,3160
780,2459
1676,2384
1483,3156
1205,1721
1544,2022
25,1517
344,3070
3052,3608
25,2606
1206,1517
344,2021
2657,3608
208,2976
1035,1391
1391,1997
1035,3176
2710,2826
1923,2976
70,2723
1884,3273
1517,2657
1183,2335
2459,3176
1517,3354
1544,2314
1206,3176
1035,3052
3176,3354
1405,2021
1206,1373
1923,3070
2600,2628
2427,3623
70,2427
1917,3676
2335,3160
1380,3354
2712,3273
1517,1544
1517,1527
25,3608
1676,2976
288,1544
1573,1721
785,1917
288,1917
1923,2361
2617,2706
366,1721
1676,2700
2427,3752
2657,2706
968,2959
2395,3176
1527,1732
785,1373
736,2723
1391,2710
1183,2459
1732,2826
1732,2657
1884,1917
1923,3273
2253,3160
1517,2384
2427,2959
3176,3225
288,1380
344,2700
1206,2861
1721,2617
1544,3070
2706,2723
3176,3608
1088,2712
1544,1884
1183,1517
1183,1721
216,2712
2628,3917
1544,3052
1373,1391
532,780
968,1416
1380,1923
968,1059
2657,2723
1205,2976
104,2657
2628,2907
1206,3033
2395,3156
2657,3033
2617,2657
288,2710
344,2628
25,3146
1183,2710
2826,3608
25,3354
2710,3754
2710,3273
1527,2683
1676,2459
1517,1573
25,208
2657,3752
25,2700
208,1206
1380,1527
231,2617
2710,3785
780,1059
25,2363
2253,2427
1380,2976
2022,3623
532,1573
1997,2384
344,1035
25,1923
25,2335
104,1997
2628,2976
1373,1997
1405,2657
231,736
1997,3156
1517,1997
2628,2826
736,2683
1527,2706
1527,2959
1391,3160
2712,3354
2657,2861
3156,3160
1206,2021
1088,3535
736,1884
968,2617
1997,3070
1059,1206
1676,3676
1183,2976
1721,3354
1391,2712
1517,2710
2959,3608
288,2683
1059,1373
2976,3623
785,2617
3160,3176
1732,2712
2431,2976
785,1573
1206,3754
2657,2712
231,2395
2021,2710
2431,2959
2710,3160
2427,2710
2657,3052
2710,3052
1347,2628
208,1183
2384,2431
1391,2683
344,2826
327,1035
532,1088
2384,2706
1059,3608
1997,3160
1527,3917
1676,1997
674,1721
1997,2657
780,2363
1923,3608
2335,2710
104,3070
2959,3785
1373,3176
1997,3033
1573,2459
2021,2617
1923,3052
1183,2706
3052,3623
968,3052
1088,2628
780,2314
70,2384
1380,2706
3070,3273
968,1544
1035,2427
19,2712
25,3176
2723,3917
1183,1373
1380,1405
968,3354
1373,2361
2723,3176
288,1573
1380,2723
3070,3176
2617,2723
1380,3623
288,2431
25,2723
2395,2710
3156,3676
1884,2617
19,2395
968,2706
780,3070
1373,2706
785,1527
785,3273
1380,2712
1544,3033
968,1573
1573,3070
3033,3623
2617,2628
1573,1884
2395,2861
1391,2021
2712,2861
2021,2628
1405,3623
1924,2683
736,2022
1923,1997
1923,2959
1721,3676
1059,1676
3156,3608
1059,1527
1416,2427
1206,3052
1380,2628
2335,2712
70,1206
1391,1923
1347,1732
1205,2710
1183,2861
2335,2395
1206,2253
1544,2600
208,1517
2683,3608
2253,2628
1405,1544
216,3176
2361,2959
2021,3623
532,2959
1517,3535
216,3535
1732,3785
25,785
1732,2384
1517,2361
104,1544
25,1380
1183,2395
1917,3070
1573,2826
1923,2826
2959,3273
1997,2700
1573,3354
3156,3535
1059,3052
968,1088
2710,2976
2628,3033
1373,3160
1373,1732
785,3160
1391,2706
344,3176
785,2431
231,2628
1183,3623
2700,3156
2976,3785
288,2706
2700,3225
1206,2826
1035,3156
1206,2384
104,736
2395,3033
1923,2723
780,3752
1380,1676
3608,3785
2683,2826
1721,2022
2363,2617
1059,2617
3033,3535
2427,3273
25,1035
2021,3910
785,1059
1676,1884
344,2723
1088,1405
2710,2861
216,2395
1924,2826
1183,2826
2314,2861
1183,3033
1035,2384
780,2361
1544,2384
2657,3354
1676,3608
1206,2657
1373,1923
2712,3146
2384,3785
70,1380
1732,2861
1405,1573
736,1405
1059,1405
19,1035
2431,3535
2723,2959
2628,3273
1373,1517
1676,2431
1676,3535
3176,3917
2363,2683
19,2959
1917,3052
1416,1676
1380,3052
2826,2959
1205,2395
1527,2657
1183,3176
327,2628
1517,3156
1035,1917
208,2427
231,3070
1391,2431
1205,3176
1923,3623
208,1732
785,1088
288,2861
968,1517
968,1035
1347,2431
1517,3225
1391,2861
1088,2427
968,2723
216,3754
2706,3070
2335,2384
1405,3354
2907,3160
231,1380
2253,3176
231,2710
2628,3052
1924,3354
231,1924
1997,2710
1380,2826
1517,1676
231,3354
3052,3354
3070,3354
1517,2976
1573,2021
2363,3785
2361,3176
344,2976
2395,3273
2700,2706
1544,2683
1059,3160
208,2712
2431,2723
2384,2657
25,2021
1721,3146
19,1527
1405,2959
2723,3623
25,1391
780,2683
2723,3160
968,2021
2314,3785
2700,3273
532,1380
2706,3052
1183,2657
785,2363
327,1923
1373,2712
1517,2427
1035,1527
2395,3752
2907,2959
780,2628
1059,2706
25,327
2706,3623
3785,3910
104,1924
968,1923
1732,3535
344,2617
2683,2700
1676,2628
2431,3052
1527,1917
1183,3156
1732,2700
1183,3785
104,2314
1183,1347
1732,3160
1059,3033
2427,3033
70,2683
1035,1676
1035,2976
2723,2861
2363,3052
2363,3176
2712,3033
2710,2712
1732,2710
2021,2427
104,532
104,2628
1917,2459
2021,2683
25,2959
780,3052
1573,2706
366,2959
1205,2427
968,1527
2459,3052
327,2706
2826,3676
2395,3535
216,1206
1544,1573
736,2976
1183,2021
1088,1923
1573,2600
70,780
532,1527
1676,2683
2021,3160
1059,2427
1884,2683
216,1183
1416,1884
1517,3623
2363,2712
1373,1405
288,2657
3535,3785
1391,2976
1421,2826
1035,2657
1183,3273
968,2861
1035,1183
1035,1884
968,1732
2363,3623
1035,3273
736,3033
1059,1544
70,2976
208,3608
1997,3754
2427,2826
1059,1917
2617,3033
288,1676
1380,2459
344,1732
327,2712
1373,2683
2021,2395
532,2826
1527,1544
1059,1517
1917,1923
288,2617
1923,3535
2021,2959
25,3752
2712,3176
3176,3910
3033,3754
104,1721
2700,3070
3052,3156
532,1544
2683,3052
1573,3785
2617,3752
25,2384
3156,3623
1391,1416
2253,2700
1924,3910
1183,3535
1416,1923
2657,3156
216,1035
19,3535
532,1721
674,1676
736,3052
2712,2959
288,1088
2427,2657
1924,2628
208,2600
1884,2628
2700,3160
2657,3535
1391,3176
2600,3623
785,1183
208,1391
2683,3623
2021,2657
3146,3176
1676,1923
780,1405
1059,1732
2617,3052
1405,2395
2712,3070
231,3052
1917,2826
1416,3752
2253,2712
532,1923
1205,3160
1923,2022
1517,3070
1405,2431
2861,3535
1059,1726
104,968
2683,3354
1721,2459
1721,3569
208,2022
785,2395
19,1924
2022,2683
1035,2335
288,3535
1923,2253
70,674
1391,2959
1726,2395
1088,2361
1573,2976
1035,1544
1732,2600
288,3354
70,3754
1732,3354
2706,3354
2021,2706
2384,2617
1923,2384
2021,3176
1373,1721
1527,3676
1391,2427
288,2826
288,3754
2723,3273
104,3623
2710,2723
2959,3052
1517,1924
366,2628
1405,2617
1676,3623
288,1732
1206,1347
1997,3354
1183,3917
2384,2600
2427,3354
1405,3160
785,3052
2723,3052
1997,2427
1732,2683
288,3623
1517,3160
1035,3785
3033,3917
2600,3225
2253,2395
288,3176
1373,2657
2021,2976
2657,3176
231,3176
2021,2712
2395,2723
1732,3070
1183,2315
2959,3754
1527,2384
25,1183
1391,3354
1059,2710
1732,3052
2427,2700
736,2628
1721,2387
231,1088
104,1573
785,2959
1059,1923
2384,2395
208,1380
1380,3070
288,1527
1088,3052
208,288
1997,2826
3052,3160
1527,3033
208,1405
104,2959
1035,3354
1732,2459
2384,3354
780,1035
3033,3354
2395,2700
3070,3752
2976,3752
1997,2335
2826,3052
785,3070
1997,3785
2384,3273
1721,3752
1923,3033
2384,3160
1527,2459
1059,2712
70,2657
2657,2700
1884,2706
785,2600
1527,3354
288,2700
3752,3910
736,3676
1732,2959
2335,3535
344,2384
785,3156
231,1917
736,1676
216,1721
736,2826
1517,2395
1373,2022
208,3160
1544,2021
344,1416
344,3913
344,1917
2427,2723
231,3160
3146,3913
1416,3176
1035,3033
736,1924
1347,2683
2253,2384
1088,2683
231,2384
19,1997
19,3176
1917,2683
1183,3160
104,288
2427,3225
2826,2976
2600,2706
288,3273
344,1721
104,3354
3273,3535
327,2427
25,216
216,2976
1416,1997
1380,2384
2617,2683
1573,2022
2275,2314
1416,3070
104,1732
288,3156
3176,3273
19,3160
1380,1917
1380,1884
2683,2861
785,2427
1035,1405
1676,1924
1347,2275
2395,3146
1405,1917
1373,1573
2600,3354
208,2628
532,1676
2387,2657
344,1997
70,1573
785,3910
104,2022
1206,2606
1517,2021
19,1416
231,2723
780,1527
1059,2021
2700,2723
1544,2459
1416,3146
611,3052
2710,3225
532,3623
288,3785
1997,2395
2021,3273
780,3785
231,780
231,1373
780,1924
216,2657
1527,3752
344,968
70,1517
231,1997
3052,3535
2700,2976
1517,2861
231,1416
785,2700
2483,3623
3052,3070
968,2710
1391,2700
1573,3052
674,1088
3273,3608
70,3354
2363,3273
2723,3676
1416,1732
1035,2861
208,3176
327,344
532,1183
104,1391
1206,1391
674,1183
674,2395
231,2427
532,3033
231,2253
2253,2706
1035,1573
2335,2427
70,2861
2617,3864
3225,3910
1059,3623
1088,1391
231,2712
344,3052
25,1059
2723,3535
780,2387
2706,3917
3146,3608
1347,2021
70,2706
1527,3273
1391,1527
2976,3070
2700,3052
1527,3070
736,2600
1421,2976
1035,2606
2606,3176
2959,3033
611,2022
785,2021
2700,3033
780,1573
1517,1884
19,1206
1391,2617
1380,2600
104,1380
1923,2861
288,3608
2021,3052
70,1059
1183,3754
1544,2826
1721,3917
1917,2628
2657,2976
327,780
344,1544
2395,3070
344,2022
1573,2253
2315,2628
2253,3676
2861,3052
2021,2723
1726,2384
736,1527
1183,2712
1917,2021
231,2826
1206,1405
2600,2710
1391,3052
231,3225
2600,3176
2706,2826
2826,3535
2617,2976
1997,2021
208,2384
1923,3910
1917,3785
216,1997
70,3033
2361,2706
1416,2826
104,1527
1517,2431
288,3052
1206,3070
1391,1517
1997,2253
780,2706
1035,2021
1721,3623
2657,3070
611,2427
2657,3273
2022,2617
674,1917
1391,3785
25,2861
1059,2683
2861,3608
1544,3676
1923,2431
2683,3917
2600,3785
104,2723
216,2314
1997,2861
1380,2617
344,1573
1923,2700
532,2706
208,968
1517,3917
780,3033
1884,2384
2861,3070
780,1676
1035,3070
208,3273
70,1373
327,1183
2723,3033
1544,3785
231,2363
1373,3535
1721,2314
3052,3917
611,3160
2253,2959
25,3535
2431,2683
1405,2427
1391,3910
1205,1206
1483,2395
3160,3917
968,3176
104,1347
70,1527
19,2361
1391,3156
1205,1923
25,2600
1206,2959
1347,2712
780,1483
2617,3785
288,2395
2315,2395
70,2617
674,2710
1416,2628
1924,3156
1573,1676
216,2384
208,1035
19,968
1517,2363
19,1183
1206,3752
736,2387
2431,2600
1527,2431
1676,2723
2314,2431
1059,2335
231,2022
70,1416
1924,2021
231,1676
231,1391
1726,1923
1544,2706
1416,2617
2384,2427
2395,2959
1347,1527
2459,2617
3052,3785
2275,2683
1391,3535
1527,3569
736,2706
1088,2022
1721,3273
780,2021
216,2427
208,3070
1373,3052
1183,3864
208,1573
1380,1517
2361,2683
70,2959
2384,2700
1416,3160
288,1923
674,2431
674,2723
1347,3754
70,2700
104,2600
216,2021
70,736
344,1380
70,2021
1373,1527
1917,3910
674,2617
1380,2387
1416,2959
70,231
674,3176
1405,3225
1917,3033
1997,3146
2363,2976
25,1732
344,2861
2384,3070
3033,3608
1416,2395
968,2427
231,1544
25,1206
611,1573
736,1241
1483,2628
1416,2710
2723,2976
1183,2431
19,2710
1517,3052
2427,2861
1573,3033
736,2459
736,2384
3176,3676
1544,1676
1884,3623
1721,2253
70,3608
3176,3754
2021,2022
2907,3623
1997,2976
1676,3052
2628,3623
1997,2275
2022,3354
208,3052
1380,3033
1088,2976
1517,2700
532,2617
1527,2600
1517,2723
3033,3160
611,1380
968,3160
2253,3608
1732,3910
3070,3785
674,780
2459,3160
104,1373
1416,3535
1035,3225
2363,3354
25,3156
1373,1884
968,1676
288,1517
532,2723
2395,2712
1391,2657
104,1059
1544,3752
1088,1676
2314,3146
785,1206
1573,2617
1416,3608
1183,1380
2395,2606
1035,3864
2959,3070
288,1183
216,3917
288,344
1924,2335
25,2427
1088,2617
1405,1527
344,780
1527,2363
2628,3752
736,3785
780,2826
25,1924
2700,2907
2826,3623
1380,1544
288,2976
25,1405
1380,2683
1088,2706
1347,2395
3146,3160
780,2253
70,1923
1059,3156
2384,2723
780,1380
532,1373
344,2600
2959,2976
1544,2363
1527,1676
2427,3176
327,1206
216,2710
1373,3623
2387,3052
288,3033
327,3785
1923,2600
2657,3785
